agent,algo,reward_variant,co2_kg,hvac_kwh,it_kwh,task_queue,water_l
AgentLS,MAPPO,default,XXX,XXX,XXX,XXX,XXX
AgentLS,MAPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentLS,MAPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentLS,MAPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentLS,IPPO,default,XXX,XXX,XXX,XXX,XXX
AgentLS,IPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentLS,IPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentLS,IPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentLS,HAPPO,default,XXX,XXX,XXX,XXX,XXX
AgentLS,HAPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentLS,HAPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentLS,HAPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentDC,MAPPO,default,XXX,XXX,XXX,XXX,XXX
AgentDC,MAPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentDC,MAPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentDC,MAPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentDC,IPPO,default,XXX,XXX,XXX,XXX,XXX
AgentDC,IPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentDC,IPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentDC,IPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentDC,HAPPO,default,XXX,XXX,XXX,XXX,XXX
AgentDC,HAPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentDC,HAPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentDC,HAPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentBAT,MAPPO,default,XXX,XXX,XXX,XXX,XXX
AgentBAT,MAPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentBAT,MAPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentBAT,MAPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentBAT,IPPO,default,XXX,XXX,XXX,XXX,XXX
AgentBAT,IPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentBAT,IPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentBAT,IPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
AgentBAT,HAPPO,default,XXX,XXX,XXX,XXX,XXX
AgentBAT,HAPPO,rcarbon,XXX,XXX,XXX,XXX,XXX
AgentBAT,HAPPO,rtask,XXX,XXX,XXX,XXX,XXX
AgentBAT,HAPPO,rbalanced,XXX,XXX,XXX,XXX,XXX
